,batch_num,domain,argtype,is_osherson,is_single_premise,argument
0,0,Birds,General,0.0,False,"[['Sparrows', 'Robins'], 'Birds']"
1,0,Birds,General,0.0,False,"[['Canaries', 'Blackbirds'], 'Birds']"
2,0,Birds,General,0.0,False,"[['Ostriches', 'Parrots'], 'Birds']"
3,0,Birds,General,0.0,False,"[['Chickens', 'Ducks'], 'Birds']"
4,0,Birds,General,0.0,False,"[['Parrots', 'Chickens'], 'Birds']"
5,0,Birds,General,0.0,False,"[['Blackbirds', 'Doves'], 'Birds']"
6,0,Birds,General,0.0,False,"[['Herons', 'Peacocks'], 'Birds']"
7,0,Birds,General,0.0,False,"[['Herons', 'Woodpeckers'], 'Birds']"
8,0,Birds,General,0.0,False,"[['Sparrows', 'Turkeys'], 'Birds']"
9,0,Birds,General,0.0,False,"[['Swans', 'Magpies'], 'Birds']"
0,0,Birds,General,0.0,True,"[['Canaries'], 'Birds']"
1,0,Birds,General,0.0,True,"[['Magpies'], 'Birds']"
2,0,Birds,General,0.0,True,"[['Chickens'], 'Birds']"
3,0,Birds,General,0.0,True,"[['Roosters'], 'Birds']"
4,0,Birds,General,0.0,True,"[['Parrots'], 'Birds']"
5,0,Birds,General,0.0,True,"[['Crows'], 'Birds']"
6,0,Birds,General,0.0,True,"[['Eagles'], 'Birds']"
7,0,Birds,General,0.0,True,"[['Turkeys'], 'Birds']"
8,0,Birds,General,0.0,True,"[['Ducks'], 'Birds']"
9,0,Birds,General,0.0,True,"[['Ostriches'], 'Birds']"
10,0,Birds,General,0.0,True,"[['Swans'], 'Birds']"
11,0,Birds,General,0.0,True,"[['Pelicans'], 'Birds']"
12,0,Birds,General,0.0,True,"[['Robins'], 'Birds']"
13,0,Birds,General,0.0,True,"[['Herons'], 'Birds']"
14,0,Birds,General,0.0,True,"[['Blackbirds'], 'Birds']"
15,0,Birds,General,0.0,True,"[['Falcons'], 'Birds']"
16,0,Birds,General,0.0,True,"[['Swallows'], 'Birds']"
17,0,Birds,General,0.0,True,"[['Peacocks'], 'Birds']"
18,0,Birds,General,0.0,True,"[['Storks'], 'Birds']"
19,0,Birds,General,0.0,True,"[['Sparrows'], 'Birds']"
20,0,Birds,General,0.0,True,"[['Seagulls'], 'Birds']"
21,0,Birds,General,0.0,True,"[['Woodpeckers'], 'Birds']"
22,0,Birds,General,0.0,True,"[['Vultures'], 'Birds']"
