,i,domain,conclusion_type,is_single_premise,gpt3_spearmanr,gpt3.5_spearmanr,gpt4_spearmanr,gpt3_scm_spearmanr,gpt4_scm_spearmanr,human_scm_spearmanr,gpt3_pval,gpt3.5_pval,gpt4_pval,gpt3_scm_pval,gpt4_scm_pval,human_scm_pval
0,0,Birds,General,False,0.2552489224409655,0.16056110114991462,0.30798643971237055,-0.06443636979800259,0.15682020071347488,0.0753121506435634,0.010377132486951365,0.11053426025430636,0.0018252424677112045,0.5241737902152791,0.11919931773619549,0.45644618565584205
1,0,Birds,General,True,-0.02826701523661008,0.0869344154778927,0.4494098748759836,0.22483149042042172,0.5185990986309015,0.03784254023488473,0.8956861115145716,0.6862711442816669,0.02758207410274737,0.2908566497185105,0.00942149418943494,0.8606431996637988
2,0,Birds,Specific,False,0.2707023686763996,0.4723756277909783,0.19890288728771238,0.48829889434800045,0.5183351349670409,0.4674982556481888,0.006448717836906906,6.978367234396451e-07,0.04726791454323855,2.554038349001835e-07,3.318978470656027e-08,9.399673114968379e-07
3,0,Birds,Specific,True,0.403952291839163,0.39010718802262884,0.37818614666363987,0.5172884891672862,0.4532319277682998,0.48527162494899884,6.775497087014126e-08,2.0412259405518956e-07,5.070743809815829e-07,9.620767467872127e-13,8.694865813333171e-10,3.445406556250364e-11
4,0,Mammals,General,False,0.2699427783793014,-0.020052429609023738,0.10759156328314144,0.2783631109433584,0.3275431572238772,0.4051698843063048,0.0066054607947786306,0.8430269866404759,0.28665643461266815,0.0050428218693235344,0.0008793940156315603,2.8952427735623254e-05
5,0,Mammals,General,True,0.39739130434782605,0.25440308613017676,-0.07038792175599956,0.5860869565217391,0.5704347826086955,0.6026086956521738,0.05448920414427138,0.23027745163192653,0.74379918585442,0.0026160096152165247,0.0036070460553329266,0.0018307926730697914
6,0,Mammals,Specific,False,0.5654900521650145,0.7593046387108516,0.7475481491114261,0.6769905686534945,0.7174080700783544,0.7733076110605785,8.78709219682714e-10,5.436235522490943e-20,4.111430052725726e-19,1.0548467665002244e-14,4.582235413469796e-17,4.1766079872555446e-21
7,0,Mammals,Specific,True,0.6030993739447303,0.7679577386065727,0.7282014241905473,0.6977987326010751,0.7511276319314476,0.803135666187733,4.019479150761071e-17,3.464499242293709e-32,1.507372325104248e-27,1.607167413009945e-24,4.074896083115569e-30,3.866888801887547e-37
8,0,Vehicles,General,False,0.5506757572562053,0.16880398473669084,0.43299898738804643,0.45919190953324596,0.40674550816952765,0.5306874676939595,4.236453822208421e-09,0.09659702142350254,8.463352336826156e-06,1.9764406373851024e-06,3.2374557219856254e-05,1.9006829879934117e-08
9,0,Vehicles,General,True,0.8278260869565216,0.3000794393603989,0.6822599484835119,0.6947826086956521,0.757121131183664,0.9088932591463856,5.981436834004455e-07,0.15424857545952633,0.0002402044252127709,0.00016488547980470365,1.84547172265551e-05,8.076062540928978e-10
10,0,Vehicles,Specific,False,0.7506601069685194,0.7835316932894112,0.8368551476883066,0.8254260696571498,0.7865328011173622,0.8319696123985759,2.4330977264099866e-19,5.695797785069883e-22,2.17017858261323e-27,4.4706497885713846e-26,3.1090616705866175e-22,8.132039033997757e-27
11,0,Vehicles,Specific,True,0.7881311895385863,0.7462594719302903,0.879643119310968,0.811604908117317,0.8168187700991345,0.8577316839437171,5.676650824666182e-36,1.9405636115971452e-30,3.712676602224374e-54,1.1737754363178184e-39,1.515913201515915e-40,1.1261601853714285e-48
12,1,Birds,General,False,0.3276678532783433,0.11366897661413387,0.28883320022222597,0.005797519026079815,0.32840340591059664,0.34555876003656694,0.0008751714973094157,0.2601431528435912,0.0035636914144264805,0.9543486210733061,0.000850638163998912,0.0004294861317198579
13,1,Birds,General,True,0.1975631731695441,0.03158096081736453,0.40393710954809103,0.36553538648109485,0.7213757758056789,0.25897720427050475,0.35478066085542304,0.883533523351758,0.05027933520786509,0.07899913743007414,6.951160229933673e-05,0.22171676702221793
14,1,Birds,Specific,False,0.4147839670602155,0.6124798584212318,0.3214775076562739,0.592066693960102,0.6185683355469526,0.5739183200215356,1.7817031546320585e-05,1.2729367052603836e-11,0.0011086897594347574,8.711811226733988e-11,6.981076862325025e-12,4.317243926486772e-10
15,1,Birds,Specific,True,0.39054122220026544,0.4375477405961062,0.4529466546172643,0.5005525754324341,0.4986746910744992,0.5322417310529354,1.9733587361165255e-07,3.753642581740884e-09,8.935235689126609e-10,6.541283883918077e-12,8.058895765748247e-12,1.5847412674316406e-13
16,1,Mammals,General,False,0.38443857925600317,0.02426719765645386,0.2405656254770819,0.357378625871384,0.3032947510924964,0.4514113759866577,7.850161522264732e-05,0.8105967368856829,0.01591189908695269,0.0002620636472079992,0.002159224472713606,2.4315602957065223e-06
17,1,Mammals,General,True,0.3061535188703615,0.18556354346046025,0.014383455278739767,0.6788432428361282,0.717982187009896,0.5562078844249891,0.14567533911474734,0.3853298765167925,0.9468159104500977,0.0002653502313999008,7.802427921932869e-05,0.0047664113562248065
18,1,Mammals,Specific,False,0.4690096352747639,0.7331560009231963,0.6658593479265328,0.7114536993867417,0.7316622363522722,0.7853426559701681,8.575137153893577e-07,4.226892780073299e-18,4.0677744355535734e-14,1.0823918623480078e-16,5.337276484859333e-18,3.9573137774952053e-22
19,1,Mammals,Specific,True,0.5872254101505183,0.7506106428030848,0.718659327951383,0.7021934356291759,0.7760973676198486,0.8252585445667154,4.102480662170651e-16,4.6890996672333324e-30,1.4839068090128646e-26,6.19607459794635e-25,2.9811639692024882e-33,8.46223807743307e-41
20,1,Vehicles,General,False,0.44388754725994706,0.08620351217567357,0.24825762264950674,0.4365670056099769,0.37326620586878007,0.48263416900489037,4.691334397550667e-06,0.39867243855017487,0.01370861265233313,6.991090030329698e-06,0.00015339347749513226,4.83533247628567e-07
