,prompt_generator,domain,conclusion_type,is_single_premise,gpt3_mean_spearmanr,gpt4_mean_spearmanr,gpt3_scm_mean_spearmanr,gpt4_scm_mean_spearmanr,human_scm_mean_spearmanr,gpt3_se_spearmanr,gpt4_se_spearmanr,gpt3_scm_se_spearmanr,gpt4_scm_se_spearmanr,human_scm_se_spearmanr
0,S1-C1-A1-Q1-O1,Birds,General,False,0.37575462501964774,0.10494891699691178,-0.04612532710491397,0.21758396470439612,0.024422095253258638,0.0866849413775546,0.09667946533155354,0.09577228079839087,0.10463496937531508,0.1070564787247724
1,S1-C1-A1-Q1-O1,Birds,General,True,0.4893436332616135,,0.4897588537409885,0.6287860076385536,0.154547919154221,0.14808861828736064,,0.1958230780665688,0.1564968965936016,0.23899908642413528
2,S1-C1-A1-Q1-O1,Birds,Specific,False,0.3925900382462234,0.41106547276422334,0.5235204310461935,0.48447236956235495,0.4068200896465147,0.08721501514922808,0.08599470166836304,0.07098164544990908,0.08008079099742328,0.08444565680608163
3,S1-C1-A1-Q1-O1,Birds,Specific,True,0.4378422592692622,0.1957832486041392,0.518226051418831,0.5130141354537933,0.571710367100874,0.06947495149503258,0.05209363123150373,0.058954918751195344,0.06527829036216179,0.05477922154282149
4,S1-C1-A1-Q1-O1,Mammals,General,False,0.4496370208784606,-0.07786459796876889,0.3597918374314069,0.3579452485031135,0.4321351945495411,0.08553856051116734,0.10329854653639171,0.09341595635018006,0.09293648318308394,0.08393198348426643
5,S1-C1-A1-Q1-O1,Mammals,General,True,0.26505435608055883,,0.5492835334357231,0.6570573346354183,0.5924705183781904,0.21256263719677668,,0.14943375529434044,0.14357645299709823,0.14903689992571034
6,S1-C1-A1-Q1-O1,Mammals,Specific,False,0.4898491662977781,0.45732217116793583,0.6641003333272623,0.6531512239279227,0.7521596415713383,0.0845601220119732,0.06496613688007186,0.06584234444362982,0.06838275627843002,0.04398628015361373
7,S1-C1-A1-Q1-O1,Mammals,Specific,True,0.6159441036424157,0.19774413013371825,0.7216822920277457,0.7525652241850129,0.8095389073066225,0.050701026783021894,0.05226471353729449,0.03698496384282165,0.037900902917484,0.030985979088001957
8,S1-C1-A1-Q1-O1,Vehicles,General,False,0.6207568334884411,0.346521095062341,0.42062615722546176,0.4555723935859757,0.596223931257603,0.06110600862822126,0.08790397146233636,0.0825683968531794,0.07922377876336369,0.06459834161311251
9,S1-C1-A1-Q1-O1,Vehicles,General,True,0.8435463888862368,0.08759787292858963,0.4108184094445595,0.5880167189141868,0.8547114266141302,0.07827141256834107,0.20904828887381108,0.15197880666651803,0.15516273652462048,0.06971356950896887
10,S1-C1-A1-Q1-O1,Vehicles,Specific,False,0.7788777574174233,0.6847604187500912,0.7881346801815314,0.7611814630389648,0.7744790901330315,0.04566789660234947,0.05238059563254413,0.03802581316154197,0.05319592096003098,0.04711521930330844
11,S1-C1-A1-Q1-O1,Vehicles,Specific,True,0.75379536672778,0.2761026987872247,0.7621103548263709,0.7637182121190685,0.7921523777227972,0.04370483227380724,0.06071441406272477,0.033438973080508326,0.031855112183699755,0.028645161825487223
12,S3-C1-A1-Q1-O1,Birds,General,False,0.3788104170176353,0.20153072354918874,-0.04209417201140356,0.21770489579262195,0.02381056417115653,0.08650855749698265,0.09997215776958028,0.09482691971620134,0.09914219000681639,0.10284363978286584
13,S3-C1-A1-Q1-O1,Birds,General,True,0.49490549382460847,0.0210112498360161,0.4848434263488086,0.6288928604886239,0.13556301484378722,0.15178128204257854,0.22090795703651728,0.1924810783384357,0.15668725328166713,0.23909725955636932
14,S3-C1-A1-Q1-O1,Birds,Specific,False,0.3912326339483828,0.3991007480867954,0.5254720587820825,0.4825231406724939,0.40853254686967316,0.08733245758376496,0.08160652644939062,0.07395841440013962,0.08614438525943993,0.08655745094073758
15,S3-C1-A1-Q1-O1,Birds,Specific,True,0.4406417623743074,0.37148678911620286,0.5223666248337961,0.5158785242058948,0.5743214666827665,0.06951430378748559,0.07234770110906504,0.05771696846481024,0.06294107881680135,0.05349636516195349
16,S3-C1-A1-Q1-O1,Mammals,General,False,0.4598814179088579,0.09567048991424644,0.36035257259252385,0.36312089101238476,0.4355298194467998,0.08470167639852286,0.10504561807150338,0.09166983358362912,0.08975459844448097,0.08670669812888378
