,domain,conclusion_type,is_single_premise,spearmanr_mean,spearmanr_std
0,Birds,General,False,0.09760225474653157,0.08018314062311684
1,Birds,General,True,0.16785638411415385,0.01631341456470321
2,Birds,Specific,False,0.3262651923956825,0.06218635489521034
3,Birds,Specific,True,0.7721682442923659,0.014546191398114777
4,Mammals,General,False,0.17067238284971825,0.09139854177720783
5,Mammals,General,True,0.20465654468109468,0.017233767387826053
6,Mammals,Specific,False,0.7708243691844245,0.02897145329371273
7,Mammals,Specific,True,0.8582932859184765,0.004440288205052051
8,Vehicles,General,False,0.36019212679312085,0.06823457764287733
9,Vehicles,General,True,0.623247458244382,0.014023352415789166
10,Vehicles,Specific,False,0.7630684940773861,0.029509679142813355
11,Vehicles,Specific,True,0.8679546792393157,0.00945458059731699
