,i,domain,conclusion_type,argument_type,gpt3_spearmanr,gpt4_spearmanr,gpt3_scm_spearmanr,gpt4_scm_spearmanr,human_scm_spearmanr,gpt3_pval,gpt4_pval,gpt3_scm_pval,gpt4_scm_pval,human_scm_pval
0,0,Birds,General,multi,0.2723691059606284,0.20628944707918448,0.14142496286658468,0.37525280932387634,0.08923990104781869,0.006116277597898072,0.03947864783533464,0.1604575890653842,0.00011961219418093226,0.3772672292628362
1,0,Birds,General,single,0.5104347826086956,0.34394249910086283,0.5165217391304348,0.617391304347826,0.06,0.010817218599752949,0.09983187092443868,0.009761613063737263,0.001308288230488699,0.7806300955564118
2,0,Birds,Specific,multi,0.27365774347009647,0.24624233005120286,0.4212228806233027,0.4602491153993123,0.3662512812771167,0.005869760832399912,0.013525753871936263,1.2763492411144716e-05,1.4511815651916606e-06,0.00017856622292847552
3,0,Birds,Specific,single,0.3856935883016707,0.3724631218616907,0.44751903019443395,0.4455891603176914,0.5168234750618935,2.8709641376658407e-07,7.749719072121327e-07,1.4940554651346607e-09,1.7898268281575052e-09,1.016150434676938e-12
4,0,Mammals,General,multi,0.09784259048853061,0.04974966934549951,0.01063108372992488,0.023278492837232045,0.08657845025625804,0.3328192794339464,0.6230399850280735,0.9163939007349906,0.8181777243979937,0.39171614345397443
5,0,Mammals,General,single,0.22347826086956518,-0.07038792175599956,0.6391304347826086,0.5652173913043478,0.5817391304347826,0.2938468714348546,0.74379918585442,0.0007735907278482094,0.004000909500229357,0.0028647410909035534
6,0,Mammals,Specific,multi,0.5877354589536277,0.7537204369588825,0.7008095155694125,0.7073684469434535,0.750358551576234,1.287983496786403e-10,1.4414990607254767e-19,4.7730639667933155e-16,1.9280120279111812e-16,2.560846089180277e-19
7,0,Mammals,Specific,single,0.5632222427070545,0.727597764211258,0.6868133959595882,0.7538609202925771,0.8100582384295409,1.0914440437613243e-14,1.7470123982412815e-27,1.6172027494675257e-23,1.928638429217762e-30,3.1184161096512987e-38
8,0,Vehicles,General,multi,0.5771211183991016,0.3818963660999107,0.39997779713525866,0.4170757487690205,0.5310186750131749,3.278058050030556e-10,8.831625835653617e-05,3.7401816771367096e-05,1.5834828528321168e-05,1.319267917249736e-08
9,0,Vehicles,General,single,0.8547826086956521,0.6166108347355479,0.3921739130434782,0.5834782608695652,0.8547826086956521,1.0493389191403902e-07,0.0013322575771815837,0.05803633887025061,0.0027629445069863624,1.0493389191403902e-07
10,0,Vehicles,Specific,multi,0.71983605775954,0.7677721989982675,0.7195180135511532,0.6913981048624571,0.7386381029271712,3.207008935535541e-17,1.1767846316910277e-20,3.3611919277193535e-17,1.6805295746729089e-15,1.7715887940334195e-18
